,word,index,frequency
0,<start>,0,-13.418934326476894
1,a,1,0.0
2,.,2,-0.40459723696821315
3,on,3,-1.5155017349648963
4,of,4,-1.573035596295479
5,the,5,-1.6120266765064037
6,in,6,-1.6750003204693182
7,with,7,-1.8624609855791794
8,and,8,-1.9634473145539324
9,is,9,-2.300845650825649
10,man,10,-2.587464653477026
11,to,11,-2.669149413887145
12,sitting,12,-2.9187829611010425
13,an,13,-2.977404895381534
14,two,14,-3.002144220299882
15,standing,15,-3.123235781511016
16,at,16,-3.1343768226673223
17,people,17,-3.1363598648926665
18,are,18,-3.1661288264556013
19,",",19,-3.204365608060752
20,next,20,-3.2743061459249008
21,white,21,-3.300496697655083
22,woman,22,-3.343301823598371
23,street,23,-3.4726267767578367
24,table,24,-3.477380573134308
25,that,25,-3.5612813102845644
26,holding,26,-3.5665295641700814
27,it,27,-3.625261639947971
28,person,28,-3.6685396800745895
29,large,29,-3.681737513662192
30,some,30,-3.6820918513497123
31,down,31,-3.7226554622426686
32,top,32,-3.790607565838874
33,group,33,-3.7955575808962276
34,field,34,-3.8337942607034305
35,up,35,-3.8536505087401256
36,small,36,-3.8814508131680157
37,near,37,-3.908341224875077
38,tennis,38,-3.909082130295352
39,his,39,-3.9351375893129115
40,black,40,-3.9400182517886657
41,front,41,-3.947692297583898
42,plate,42,-3.969340861453432
43,train,43,-3.9717053013948282
44,room,44,-3.9743126587760447
45,riding,45,-3.9778791376901825
46,dog,46,-3.9884950333727254
47,young,47,-4.044945662972377
48,red,48,-4.046390074625856
49,by,49,-4.052188675336574
50,cat,50,-4.061467889610416
51,water,51,-4.083460223743945
52,baseball,52,-4.093302910165976
53,walking,53,-4.187615548115518
54,playing,54,-4.188203264852976
55,has,55,-4.200229038169082
56,bathroom,56,-4.20729479876909
57,while,57,-4.211999747635543
58,sign,58,-4.261256607084016
59,blue,59,-4.27966040293457
60,food,60,-4.286988021928722
61,kitchen,61,-4.288503337729012
62,grass,62,-4.309188069736413
63,bus,63,-4.3246784335215125
64,there,64,-4.336540968831332
65,pizza,65,-4.348891040039433
66,parked,66,-4.350849002081581
67,green,67,-4.367238047940308
68,building,68,-4.403757619307963
69,snow,69,-4.4080209791976035
70,side,70,-4.408753669424544
71,looking,71,-4.415003306823754
72,bed,72,-4.415987195723688
73,other,73,-4.422158531034596
74,beach,74,-4.4482480579419095
75,ball,75,-4.451685143624616
76,couple,76,-4.456670772360131
77,three,77,-4.4788291133487705
78,boy,78,-4.48119038953445
79,men,79,-4.490559066623262
80,for,80,-4.4956095824093305
81,flying,81,-4.530453478754078
82,toilet,82,-4.539183527963767
83,city,83,-4.548130882494768
84,road,84,-4.568273407459741
85,skateboard,85,-4.5740213755773445
86,clock,86,-4.591172958822174
87,player,87,-4.59205298234626
88,out,88,-4.598825681968285
89,game,89,-4.601932882811034
90,wearing,90,-4.606686308279461
91,her,91,-4.614609213914356
92,laying,92,-4.634772104206416
93,over,93,-4.635384849323627
94,several,94,-4.641841443621327
95,girl,95,-4.643848391419627
96,from,96,-4.671423379998445
97,sits,97,-4.681321289668042
98,wooden,98,-4.684213322532082
99,bear,99,-4.70453096577295
100,through,100,-4.712609486338152
101,picture,101,-4.716257914929122
102,their,102,-4.71908630047658
103,around,103,-4.720753801279837
104,bench,104,-4.721588595551541
105,eating,105,-4.73064906021825
106,laptop,106,-4.734194863848855
107,cake,107,-4.748676759333819
108,area,108,-4.752459432344901
109,horse,109,-4.759720875040227
110,brown,110,-4.765987214083036
111,yellow,111,-4.77440388659946
112,board,112,-4.790736577017745
113,giraffe,113,-4.790736577017745
114,sink,114,-4.794143124462638
115,one,115,-4.798643177057088
116,computer,116,-4.80370739478929
117,phone,117,-4.80407010788721
118,frisbee,118,-4.805885649417134
119,outside,119,-4.832588276372339
120,living,120,-4.835391754519121
121,air,121,-4.844227228860048
122,truck,122,-4.851999043165842
123,window,123,-4.894566931312655
124,desk,124,-4.899743132397982
125,as,125,-4.90977330675792
126,'s,126,-4.9199051056883265
127,motorcycle,127,-4.924191263898248
128,umbrella,128,-4.925214491246297
129,car,129,-4.92664877076684
130,trees,130,-4.928290470294192
131,tree,131,-4.934677635306921
132,each,132,-4.940897850261849
133,covered,133,-4.9415220050725
134,many,134,-4.949461871272067
135,elephant,135,-4.951561830044612
136,park,136,-4.95177206866622
137,open,137,-4.952192678556754
138,close,138,-4.9532449779277705
139,very,139,-4.975172413146539
140,wall,140,-4.976249187235717
141,this,141,-4.984036377787485
142,old,142,-4.985775130670665
143,little,143,-5.0160302814627835
144,filled,144,-5.01737647865958
145,fire,145,-5.027531141118955
146,under,146,-5.027531141118955
147,behind,147,-5.029347259665801
148,stop,148,-5.036187231613578
149,sky,149,-5.051866593638294
150,court,150,-5.056058495445012
151,together,151,-5.057927218249985
152,child,152,-5.06261436064874
153,into,153,-5.06355443122326
154,kite,154,-5.091691719019101
155,its,155,-5.120145932027691
156,surfboard,156,-5.132412952795657
157,bat,157,-5.132412952795657
158,skis,158,-5.135187579370762
159,inside,159,-5.139744549281889
160,sheep,160,-5.14687470426648
161,bowl,161,-5.156891482509952
162,photo,162,-5.157407878080425
163,airplane,163,-5.158700034869596
164,boat,164,-5.165967131476095
165,big,165,-5.171714273731663
166,background,166,-5.178549210960558
167,back,167,-5.191826092128746
168,bunch,168,-5.193966847562309
169,ocean,169,-5.196649252604176
170,couch,170,-5.201495788746706
171,stands,171,-5.205823628880217
172,chair,172,-5.211805158405567
173,bird,173,-5.222221919263823
174,zebra,174,-5.225810604964826
175,light,175,-5.2260871918840275
176,view,176,-5.226640595329252
177,traffic,177,-5.228302645573354
178,cell,178,-5.236375062408229
179,hydrant,179,-5.237213871348785
180,plane,180,-5.23749363075752
181,glass,181,-5.2411376431991155
182,teddy,182,-5.250164502801622
183,mirror,183,-5.260131835782891
184,women,184,-5.267312679507143
185,fence,185,-5.268755056794567
186,counter,186,-5.272804816451488
187,sandwich,187,-5.276871043372747
188,orange,188,-5.308507088901868
189,different,189,-5.312118287529841
190,shirt,190,-5.313626810971742
191,horses,191,-5.315742574191106
192,wave,192,-5.318166083405162
193,another,193,-5.318166083405162
194,giraffes,194,-5.326389062585593
195,sidewalk,195,-5.330986771834223
196,lot,196,-5.335297123335345
197,tall,197,-5.342729799237866
198,tracks,198,-5.345531357490488
199,hand,199,-5.3511581306980025
200,flowers,200,-5.352412836006899
201,floor,201,-5.355241692207377
202,vase,202,-5.356816743722154
203,stand,203,-5.3606070198959355
204,parking,204,-5.366637826938247
205,cars,205,-5.369507269366199
206,baby,206,-5.372384969193814
207,racket,207,-5.396037456875436
208,being,208,-5.407247597349047
209,ground,209,-5.410236143488364
210,vegetables,210,-5.410901479507585
211,grassy,211,-5.412900147727884
212,elephants,212,-5.424302015045067
213,bananas,213,-5.428018863385568
214,off,214,-5.434471594214696
215,tower,215,-5.434812367773966
216,zebras,216,-5.444057425918017
217,day,217,-5.444401482346665
218,tie,218,-5.444745657190881
219,dirt,219,-5.467727170003922
220,full,220,-5.469842826646376
221,along,221,-5.476927517987036
222,ready,222,-5.476927517987036
223,hill,223,-5.4851374516614815
224,middle,224,-5.486572172137142
225,image,225,-5.497035915453096
226,slope,226,-5.516446889314038
227,station,227,-5.517927274484473
228,bike,228,-5.524243476051269
229,driving,229,-5.524243476051269
230,signs,230,-5.536996837204823
231,sit,231,-5.540400130336531
232,taking,232,-5.54800472972175
233,stuffed,233,-5.549150423946747
234,four,234,-5.564941239252649
235,skiing,235,-5.5703908440202134
236,skate,236,-5.5869201459714235
237,cows,237,-5.592890312957928
238,grazing,238,-5.598494811214713
239,wine,239,-5.6001018826734885
240,piece,240,-5.600906387946164
241,across,241,-5.60534277352446
242,beside,242,-5.611017697550484
243,above,243,-5.612237953955714
244,head,244,-5.619590928260973
245,luggage,245,-5.620001016435676
246,during,246,-5.624111174297504
247,snowy,247,-5.626998369538835
248,wii,248,-5.632382520048181
249,broccoli,249,-5.633213429942269
250,long,250,-5.65040102555086
251,refrigerator,251,-5.658893645596513
252,hat,252,-5.6623109919380346
253,doing,253,-5.672201418723271
254,ski,254,-5.675231068303139
255,display,255,-5.675231068303139
256,mountain,256,-5.69228066162925
257,glasses,257,-5.692721675969364
258,hanging,258,-5.693604288559759
259,herd,259,-5.6958142342105615
260,pink,260,-5.696256810008889
261,suit,261,-5.697585713858944
262,fruit,262,-5.700248831278427
263,kites,263,-5.706043364986764
264,children,264,-5.713671851610568
265,cow,265,-5.716829986425843
266,them,266,-5.721813009194268
267,holds,267,-5.726820986881426
268,cutting,268,-5.729105657740409
269,double,269,-5.737835324940534
270,buildings,270,-5.740145328277739
271,hot,271,-5.741070825798682
272,going,272,-5.74431682911253
273,camera,273,-5.747573403286249
274,corner,274,-5.753649608005542
275,trick,275,-5.7597629588108346
276,pole,276,-5.764017278628573
277,empty,277,-5.766388633782972
278,talking,278,-5.768289775039996
279,jumping,279,-5.77114828103596
280,pair,280,-5.77114828103596
281,airport,281,-5.77305850129208
282,swinging,282,-5.784597090848573
283,oven,283,-5.785564676797309
284,keyboard,284,-5.786533199875439
285,umbrellas,285,-5.793339254344439
286,watching,286,-5.794315340317494
287,track,287,-5.795292379965321
288,chairs,288,-5.805115641668264
289,posing,289,-5.809072125563339
290,stove,290,-5.811552900837102
291,looks,291,-5.811552900837102
292,boats,292,-5.818531991976493
293,television,293,-5.8195329930610775
294,smiling,294,-5.829092814294236
295,animals,295,-5.835686802173531
296,colorful,296,-5.836195837562482
297,video,297,-5.836195837562482
298,box,298,-5.837214686351585
299,topped,299,-5.83823457425233
300,traveling,300,-5.841812395600214
301,soccer,301,-5.847460677625622
302,crowd,302,-5.849522534026181
303,getting,303,-5.854695851306402
304,tv,304,-5.864075805436217
305,door,305,-5.8672221111255825
306,various,306,-5.869325161322361
307,surf,307,-5.878844006331568
308,using,308,-5.878844006331568
309,hit,309,-5.879907270652898
310,lady,310,-5.880439327063428
311,plates,311,-5.8847060002028035
312,birds,312,-5.893833580351092
313,banana,313,-5.897075074275263
314,who,314,-5.913442051739469
315,body,315,-5.91729986859348
316,dogs,316,-5.924504111445327
317,set,317,-5.932321013336938
318,wood,318,-5.932321013336938
319,all,319,-5.939070195311866
320,lots,320,-5.939070195311866
321,guy,321,-5.941330083279304
322,runway,322,-5.941330083279304
323,against,323,-5.941895854157196
324,motorcycles,324,-5.9481405522818305
325,coffee,325,-5.952706770261412
326,carrying,326,-5.960748169136406
327,someone,327,-5.964793248330214
328,skateboarder,328,-5.967692641489217
329,players,329,-5.968273530265353
330,cheese,330,-5.972349227319167
331,river,331,-5.9746856769801875
332,house,332,-5.977027598425268
333,paper,333,-5.977027598425268
334,bedroom,334,-5.979375017343574
335,night,335,-5.9935764394497415
336,waiting,336,-5.996560625490069
337,something,337,-5.996560625490069
338,bears,338,-6.000753503750105
339,restaurant,339,-6.002555847283965
340,be,340,-6.003759216863598
341,lights,341,-6.003759216863598
342,jet,342,-6.00617030905033
343,walk,343,-6.008587228655869
344,meat,344,-6.00919237239597
345,snowboard,345,-6.009797882556765
346,cup,346,-6.018924809314201
347,brick,347,-6.031225087395852
348,home,348,-6.033083248351684
349,metal,349,-6.03930217386734
350,skier,350,-6.045560016566844
351,about,351,-6.046187960072564
352,ramp,352,-6.046187960072564
353,bicycle,353,-6.0499639242821
354,remote,354,-6.053121489267421
355,high,355,-6.0550208250710735
356,decker,356,-6.057558897499544
357,shower,357,-6.06137812556654
358,racquet,358,-6.075508097329525
359,passenger,359,-6.079396631069217
360,surfer,360,-6.083300344549691
361,items,361,-6.085911312090412
362,running,362,-6.08918463743538
363,busy,363,-6.0990693966679235
364,male,364,-6.110391528937702
365,face,365,-6.113746111083856
366,hands,366,-6.11711198433896
367,line,367,-6.11711198433896
368,lying,368,-6.1293238050257255
369,preparing,369,-6.132057914726193
370,animal,370,-6.141686599845409
371,intersection,371,-6.154204148547025
372,book,372,-6.159114716113706
373,surfing,373,-6.16122664931685
374,dressed,374,-6.16193161938482
375,slice,375,-6.163343052223228
376,mouth,376,-6.176136403683138
377,cut,377,-6.176851967219932
378,rides,378,-6.178284632221427
379,pulling,379,-6.181875300352155
380,suitcase,380,-6.184757146727044
381,like,381,-6.186201190299277
382,shown,382,-6.191998307983605
